dataset,model,subset,regime,f1_estimate,f1_mean,f1_ci.low,f1_ci.high,recall_estimate,recall_mean,recall_ci.low,recall_ci.high,precision_estimate,precision_mean,precision_ci.low,precision_ci.high
fb,Flan-T5,clinton,one-shot,0.243146417,0.243970411,0.198919387,0.29204936,0.325,0.325275,0.28,0.3725,0.194860406,0.196312369,0.153845993,0.242565164
fb,Flan-T5,trump,one-shot,0.33187596,0.332049482,0.276642156,0.388677857,0.385,0.3848985,0.3375,0.4325,0.821683824,0.82263304,0.799087574,0.847016433
fb,Flan-T5,joint,one-shot,0.022477218,0.02294394,0.009554295,0.039695831,0.0475,0.04762925,0.0275,0.07,0.018197993,0.019282979,0.006590643,0.03675196
fb,Mistral-7B,clinton,one-shot,0.665314974,0.66571756,0.620168509,0.710515107,0.655,0.655202,0.6075,0.7025,0.705733087,0.707369279,0.660817606,0.750401366
fb,Mistral-7B,trump,one-shot,0.586064883,0.585880476,0.535651371,0.633456268,0.56,0.5597715,0.5125,0.6075,0.774971595,0.775651085,0.726109994,0.822971379
fb,Mistral-7B,joint,one-shot,0.420734345,0.421027518,0.369693871,0.471370175,0.3825,0.382585,0.335,0.43,0.665091056,0.668474742,0.603688604,0.730813595
fb,Gemma-7B,clinton,one-shot,0.811279623,0.810840016,0.769746467,0.849670153,0.8125,0.8123755,0.7725,0.85,0.819473333,0.820447896,0.780845123,0.858365271
fb,Gemma-7B,trump,one-shot,0.765013188,0.764844709,0.725563802,0.802157689,0.73,0.72965825,0.685,0.7725,0.833063256,0.833828359,0.793179704,0.871926518
fb,Gemma-7B,joint,one-shot,0.655658282,0.655401485,0.608343512,0.701187881,0.6275,0.62769,0.58,0.675,0.723677944,0.726954041,0.677392363,0.773677979
fb,Llama3-8B,clinton,one-shot,0.777584598,0.777671847,0.737461325,0.817373614,0.77,0.769874,0.7275,0.81,0.811672507,0.812884873,0.777583009,0.846713969
fb,Llama3-8B,trump,one-shot,0.531967525,0.53211901,0.479757146,0.58418379,0.495,0.49517975,0.445,0.545,0.859011961,0.859745141,0.82731404,0.889016749
fb,Llama3-8B,joint,one-shot,0.449442389,0.449678099,0.396344746,0.500969949,0.41,0.4100175,0.3625,0.46,0.774160053,0.777254841,0.713224006,0.834608845
fb,Llama3-70B,clinton,one-shot,0.815237762,0.815537912,0.778426272,0.852338111,0.8125,0.81267325,0.775,0.85,0.838769018,0.840151463,0.807867212,0.871533363
fb,Llama3-70B,trump,one-shot,0.807569616,0.807845273,0.770952755,0.844142608,0.7975,0.79748775,0.7575,0.8375,0.869807185,0.870774073,0.847632085,0.892191493
fb,Llama3-70B,joint,one-shot,0.691036236,0.692296899,0.644957537,0.737432096,0.6775,0.67770575,0.6325,0.7225,0.786273054,0.789861409,0.753253941,0.823997879
fb,Gemini-1.5,clinton,one-shot,0.862489696,0.862684977,0.828808309,0.894549405,0.86,0.8600915,0.825,0.8925,0.877272138,0.878302307,0.848274279,0.905454952
fb,Gemini-1.5,trump,one-shot,0.880908741,0.880856608,0.848997444,0.910938465,0.8775,0.8773485,0.845,0.9075,0.893526221,0.894396036,0.866720656,0.920008247
fb,Gemini-1.5,joint,one-shot,0.76928246,0.770070791,0.727772876,0.81090682,0.765,0.76516975,0.7225,0.8075,0.799579621,0.8034007,0.764215243,0.839779704
fb,GPT-4o,clinton,one-shot,0.910137205,0.910113466,0.880639968,0.937313799,0.91,0.910026,0.88,0.9375,0.911835215,0.912469953,0.88430646,0.938371567
fb,GPT-4o,trump,one-shot,0.909142857,0.908829999,0.877738601,0.937641968,0.9125,0.9124025,0.885,0.94,0.91278518,0.913267068,0.884429743,0.939752009
fb,GPT-4o,joint,one-shot,0.836086654,0.835973623,0.797410167,0.872840755,0.8375,0.83773975,0.8,0.8725,0.845726891,0.848144243,0.811756085,0.882468413
fb,BERT,clinton,10,0.382928802,0.382935274,0.335164005,0.431776379,0.3975,0.397353,0.35,0.445,0.410400705,0.411561291,0.355028411,0.471302135
fb,BERT,trump,10,0.468329069,0.468389565,0.419492609,0.517166699,0.4675,0.467427,0.4175,0.515,0.491172796,0.492238839,0.435097982,0.553345673
fb,BERT,joint,10,0.144437274,0.14448961,0.109909971,0.181958631,0.16,0.1599625,0.125,0.1975,0.161415276,0.162486685,0.118446742,0.210886992
fb,BERT,clinton,100,0.417303819,0.417241574,0.365726876,0.467498344,0.44,0.44001575,0.39,0.4875,0.535515134,0.536503509,0.465317507,0.607928522
fb,BERT,trump,100,0.518459215,0.518811142,0.459167963,0.576470588,0.655,0.6550825,0.6075,0.7,0.429025,0.429692499,0.36905625,0.49
fb,BERT,joint,100,0.221633406,0.221652881,0.180486445,0.264977858,0.31,0.3098,0.265,0.355,0.199587766,0.20060777,0.156079789,0.251171008
fb,BERT,clinton,1000,0.834372758,0.833926247,0.795730337,0.870171826,0.8375,0.83722375,0.8,0.8725,0.834881558,0.835692282,0.798057231,0.871572322
fb,BERT,trump,1000,0.81721564,0.816996588,0.775660302,0.856089517,0.825,0.824825,0.7875,0.86,0.813415179,0.814553654,0.770881298,0.855809461
fb,BERT,joint,1000,0.699611318,0.699014853,0.651251074,0.744815482,0.7175,0.71694975,0.6725,0.76,0.686267949,0.688388286,0.637028559,0.738002488
fb,BERT,clinton,all,0.852298137,0.852249398,0.815903911,0.88705617,0.855,0.85504525,0.82,0.8875,0.852219512,0.853345722,0.817133807,0.88771429
fb,BERT,trump,all,0.844862848,0.844484842,0.807949593,0.879797872,0.845,0.8445865,0.8075,0.88,0.845559623,0.84643696,0.809038989,0.882669154
fb,BERT,joint,all,0.73151047,0.731582006,0.68569963,0.775747524,0.7425,0.74248,0.6975,0.785,0.72612824,0.729120712,0.680073496,0.77552917
fb,SBERT,clinton,10,0.436184834,0.436173254,0.378742499,0.49398928,0.5825,0.58225625,0.5325,0.63,0.348617424,0.348922195,0.293248731,0.406683544
fb,SBERT,trump,10,0.522995455,0.523456701,0.464130435,0.584325279,0.655,0.65517325,0.6075,0.7025,0.677035176,0.587900919,0.3844,0.712144072
fb,SBERT,joint,10,0.149655172,0.150031694,0.112743539,0.189684601,0.31,0.30987225,0.265,0.355,0.098636364,0.099107941,0.071771238,0.129346734
fb,SBERT,clinton,100,0.348200356,0.348375631,0.294390108,0.402026175,0.4175,0.41760725,0.37,0.4650625,0.652271429,0.652893434,0.590494005,0.706799794
fb,SBERT,trump,100,0.518459215,0.518647216,0.459167963,0.576470588,0.655,0.65495425,0.6075,0.7,0.429025,0.429521967,0.36905625,0.49
fb,SBERT,joint,100,0.257773274,0.257906986,0.212785641,0.304714121,0.355,0.35508625,0.31,0.4025,0.318885714,0.320027945,0.262863499,0.378111558
fb,SBERT,clinton,1000,0.83893587,0.838709307,0.801044356,0.87454653,0.84,0.839897,0.8025,0.875,0.84084964,0.841873003,0.804285894,0.877162779
fb,SBERT,trump,1000,0.832404178,0.832252536,0.792199713,0.870434481,0.84,0.840012,0.8025,0.875,0.837966562,0.839264418,0.798993694,0.876519177
fb,SBERT,joint,1000,0.720908937,0.720686392,0.674092833,0.767667975,0.7425,0.74239825,0.7,0.785,0.71754459,0.720369888,0.670448446,0.769972478
fb,SBERT,clinton,all,0.85393908,0.853841462,0.817688025,0.888198664,0.855,0.85497925,0.82,0.89,0.855426234,0.856476031,0.820916172,0.890199025
fb,SBERT,trump,all,0.842667463,0.842766107,0.806072735,0.877912006,0.8425,0.8425945,0.805,0.8775,0.845311666,0.84667759,0.809783929,0.881930335
fb,SBERT,joint,all,0.744504319,0.744888311,0.69899301,0.787738312,0.755,0.75512025,0.71,0.7975,0.744281919,0.747315263,0.700106364,0.791876933
fb,DeBERTa,clinton,10,0.44088697,0.440902466,0.381596434,0.499512195,0.5925,0.5922585,0.5425,0.64,0.35105625,0.351390769,0.29430625,0.4096
fb,DeBERTa,trump,10,0.489774488,0.490189678,0.434056573,0.545682952,0.5725,0.57272325,0.525,0.62,0.427954678,0.428963446,0.369652261,0.489760299
fb,DeBERTa,joint,10,0.147059335,0.147486098,0.111745855,0.18606308,0.2775,0.27747225,0.2349375,0.3225,0.1000955,0.100674204,0.073384629,0.131426165
fb,DeBERTa,clinton,100,0.530608398,0.530499381,0.48079977,0.581157197,0.56,0.5598245,0.5125,0.6075,0.581875,0.582771113,0.524475858,0.641661928
fb,DeBERTa,trump,100,0.518459215,0.518774973,0.459167963,0.579743025,0.655,0.65504825,0.6075,0.7025,0.429025,0.429664271,0.36905625,0.49350625
fb,DeBERTa,joint,100,0.292737359,0.293094631,0.246336231,0.342339694,0.4025,0.4023715,0.355,0.45,0.239246074,0.240314929,0.196209633,0.288081094
fb,DeBERTa,clinton,1000,0.819859973,0.820114617,0.780893038,0.857242846,0.8225,0.822837,0.785,0.86,0.81954024,0.821097887,0.782094598,0.858108761
fb,DeBERTa,trump,1000,0.864964936,0.865128856,0.830651294,0.897385287,0.865,0.865193,0.8325,0.8975,0.865152623,0.866433817,0.831347808,0.89905793
fb,DeBERTa,joint,1000,0.714154831,0.714226641,0.66709765,0.760495584,0.73,0.72993175,0.685,0.7725625,0.706829818,0.709799795,0.660153915,0.758209795
fb,DeBERTa,clinton,all,0.84766066,0.847516647,0.811477992,0.882969792,0.85,0.84996725,0.815,0.885,0.847577685,0.848631621,0.812037855,0.884152458
fb,DeBERTa,trump,all,0.859961763,0.85970376,0.824321076,0.893561037,0.86,0.85976775,0.825,0.8925,0.866998188,0.867958802,0.834486623,0.899390565
fb,DeBERTa,joint,all,0.740250894,0.740637401,0.696828274,0.783838759,0.75,0.75018725,0.7075,0.7925,0.736573072,0.739544918,0.693986599,0.783828781
fb,Flan-T5,clinton,10,0.44088697,0.440779011,0.384498382,0.499512195,0.5925,0.59216175,0.545,0.64,0.35105625,0.351263928,0.297025,0.4096
fb,Flan-T5,trump,10,0.518459215,0.518383561,0.459167963,0.576470588,0.655,0.6547415,0.6075,0.7,0.429025,0.429257728,0.36905625,0.49
fb,Flan-T5,joint,10,0.150912548,0.151317915,0.11480315,0.190588235,0.315,0.31492,0.27,0.36,0.099225,0.099711964,0.0729,0.1296
fb,Flan-T5,clinton,100,0.369160056,0.369053391,0.320650976,0.416901425,0.3925,0.392293,0.345,0.44,0.438310306,0.439235461,0.377607011,0.5021919
fb,Flan-T5,trump,100,0.518459215,0.518990951,0.459167963,0.576470588,0.655,0.655221,0.6075,0.7,0.429025,0.429883285,0.36905625,0.49
fb,Flan-T5,joint,100,0.217506562,0.218048942,0.178695988,0.259343092,0.2975,0.29766125,0.2525,0.3425,0.186268248,0.187641741,0.14893866,0.230324233
fb,Flan-T5,clinton,1000,0.62197546,0.621213462,0.565272488,0.675111968,0.685,0.6844475,0.6375,0.73,0.637249698,0.637585103,0.581594577,0.691625316
fb,Flan-T5,trump,1000,0.687113979,0.686822818,0.635704383,0.73599899,0.7275,0.727173,0.6825,0.77,0.65218391,0.652800634,0.59710651,0.707837553
fb,Flan-T5,joint,1000,0.455677062,0.4560197,0.403065041,0.508381947,0.5225,0.522653,0.4725,0.57,0.461092627,0.463079852,0.406277406,0.519930418
fb,Flan-T5,clinton,all,0.751571721,0.75140226,0.703243194,0.798638693,0.78,0.7802005,0.7375,0.82,0.772527213,0.773993881,0.717909024,0.822462292
fb,Flan-T5,trump,all,0.748810848,0.748810299,0.702196737,0.795048269,0.7875,0.7872915,0.7475,0.8275,0.714732143,0.715507008,0.661681022,0.768204671
fb,Flan-T5,joint,all,0.581543462,0.581625774,0.528177796,0.635498107,0.64,0.64005375,0.5925,0.6875,0.563832703,0.566210529,0.50663606,0.624840588
fb,Mistral-7B,clinton,10,0.198189681,0.19831277,0.154985603,0.243313743,0.2325,0.232513,0.1925,0.275,0.388398594,0.389899999,0.282867566,0.497324563
fb,Mistral-7B,trump,10,0.454109704,0.454338102,0.40560346,0.502915806,0.43,0.43020525,0.3825,0.4775,0.507572734,0.50899942,0.448645418,0.569620753
fb,Mistral-7B,joint,10,0.081343442,0.081398823,0.05385858,0.112264589,0.0875,0.0874565,0.06,0.115,0.125377038,0.126269372,0.070464068,0.191163074
fb,Mistral-7B,clinton,100,0.503191985,0.503028738,0.453967823,0.552275158,0.4875,0.487204,0.4375,0.535,0.548874287,0.550050827,0.495809429,0.604827755
fb,Mistral-7B,trump,100,0.560728987,0.560523519,0.505029052,0.615537735,0.605,0.60473625,0.555,0.6525,0.566618478,0.567907134,0.502892666,0.632126987
fb,Mistral-7B,joint,100,0.260028532,0.260519255,0.217704324,0.305434373,0.2875,0.287519,0.2425,0.3325,0.242914837,0.245091385,0.201147506,0.291843866
fb,Mistral-7B,clinton,1000,0.734441608,0.734906353,0.690811025,0.777857364,0.7325,0.7328465,0.69,0.7775,0.74090456,0.742824344,0.698370094,0.78596978
fb,Mistral-7B,trump,1000,0.730234672,0.73015628,0.685099533,0.773909576,0.73,0.72988775,0.685,0.7725,0.73151256,0.733002072,0.685893007,0.779144266
fb,Mistral-7B,joint,1000,0.560059799,0.560329067,0.511605802,0.609481752,0.56,0.56016125,0.5125,0.6075,0.56649059,0.57010701,0.518750466,0.621520526
fb,Mistral-7B,clinton,all,0.76723995,0.767063841,0.72321911,0.808843093,0.77,0.769896,0.7275,0.8125,0.766491044,0.767857034,0.723858495,0.809894678
fb,Mistral-7B,trump,all,0.771472564,0.77121234,0.728518264,0.813723747,0.7725,0.77228025,0.73,0.8125625,0.77172681,0.77295458,0.729166075,0.81645215
fb,Mistral-7B,joint,all,0.608831835,0.608917615,0.560031723,0.657119989,0.6075,0.6077035,0.56,0.655,0.614935585,0.619010823,0.567870704,0.66895899
fb,Gemma-7B,clinton,10,0.344942589,0.344881438,0.294480558,0.395160401,0.2775,0.2777285,0.235,0.3225,0.49456992,0.49602189,0.421962201,0.570181255
fb,Gemma-7B,trump,10,0.419248107,0.419526801,0.36844626,0.47137414,0.365,0.36548725,0.32,0.4125,0.494359895,0.496303425,0.432266329,0.561791737
fb,Gemma-7B,joint,10,0.15087314,0.150934501,0.114069525,0.190200998,0.1325,0.1327115,0.1,0.1675,0.209674836,0.211661468,0.14889089,0.281017424
fb,Gemma-7B,clinton,100,0.45779375,0.458279483,0.408058938,0.507258075,0.4225,0.423099,0.375,0.47,0.519378007,0.521207188,0.462508185,0.579972964
fb,Gemma-7B,trump,100,0.486688546,0.486931331,0.434080537,0.541306412,0.515,0.51499,0.4675,0.565,0.473684846,0.475118717,0.413877309,0.53805232
fb,Gemma-7B,joint,100,0.229550792,0.229565172,0.187933756,0.273460784,0.2325,0.23226325,0.19,0.275,0.233555762,0.235203763,0.188198377,0.286419123
fb,Gemma-7B,clinton,1000,0.742319504,0.742191757,0.697491219,0.784767885,0.7425,0.742353,0.6975,0.785,0.743036344,0.74439261,0.699370183,0.788188918
fb,Gemma-7B,trump,1000,0.742685053,0.742575205,0.695752359,0.787384397,0.755,0.755113,0.7125,0.7975,0.73710572,0.738596833,0.689457721,0.784989678
fb,Gemma-7B,joint,1000,0.575309115,0.574670911,0.524552441,0.623576308,0.585,0.5845515,0.535,0.6325,0.572249963,0.575537671,0.522141578,0.626951226
fb,Gemma-7B,clinton,all,0.769797047,0.769426697,0.726880309,0.810177463,0.7725,0.772197,0.73,0.8125,0.768517746,0.769687898,0.726771219,0.810970528
fb,Gemma-7B,trump,all,0.778603484,0.778759217,0.735189321,0.821881086,0.79,0.79030125,0.75,0.83,0.777877116,0.77967359,0.735819227,0.823283162
fb,Gemma-7B,joint,all,0.618128307,0.618489614,0.568604972,0.667301771,0.6325,0.6330435,0.585,0.68,0.61110599,0.614918274,0.562144991,0.668468692
fb,Llama3-8B,clinton,10,0.451300176,0.451282606,0.402041091,0.500535694,0.4475,0.44746525,0.4,0.495,0.459030575,0.460476502,0.406438988,0.515001677
fb,Llama3-8B,trump,10,0.400689542,0.400944231,0.350540758,0.451928224,0.405,0.4052045,0.3575,0.4525,0.438691943,0.439821913,0.368505384,0.516123616
fb,Llama3-8B,joint,10,0.12491684,0.124898359,0.09233911,0.159917365,0.1575,0.157489,0.1225,0.1925,0.149114639,0.15030593,0.088966396,0.223718799
fb,Llama3-8B,clinton,100,0.523112892,0.523238144,0.474649958,0.571178066,0.4975,0.4974275,0.4475,0.5475,0.604851908,0.60626767,0.550094946,0.661289269
fb,Llama3-8B,trump,100,0.539101816,0.539357969,0.482321812,0.595391047,0.6175,0.61758825,0.57,0.665,0.554391071,0.555812166,0.452821888,0.65704124
fb,Llama3-8B,joint,100,0.299579703,0.299858992,0.254247235,0.347761937,0.335,0.334985,0.29,0.3825,0.281502998,0.283879182,0.235563549,0.335268906
fb,Llama3-8B,clinton,1000,0.790207443,0.790360603,0.749298509,0.829767658,0.79,0.7901445,0.75,0.83,0.790512092,0.792009471,0.750889984,0.831110765
fb,Llama3-8B,trump,1000,0.803542442,0.803178559,0.761517007,0.8432064,0.81,0.8098525,0.77,0.8475,0.804744707,0.805841584,0.764302952,0.845913445
fb,Llama3-8B,joint,1000,0.66413653,0.664367522,0.617719605,0.712006954,0.6675,0.667746,0.6225,0.715,0.66887528,0.672110292,0.62418972,0.721290781
fb,Llama3-8B,clinton,all,0.825498466,0.825514177,0.786054383,0.862550997,0.8275,0.82757875,0.79,0.865,0.825604852,0.826881903,0.787195598,0.86388292
fb,Llama3-8B,trump,all,0.829987512,0.829812125,0.790513174,0.867710628,0.835,0.83501975,0.7975,0.87,0.830338766,0.831476154,0.792514051,0.869249109
fb,Llama3-8B,joint,all,0.68971996,0.68972052,0.643731179,0.735581719,0.6975,0.6976015,0.6525,0.7425,0.687640997,0.690901877,0.642590543,0.738527598
fb,Llama3-70B,clinton,10,0.470846927,0.471088964,0.414968606,0.527594535,0.54,0.54023275,0.4925,0.5875,0.48375608,0.485269809,0.412586117,0.5605807
fb,Llama3-70B,trump,10,0.526984998,0.527187876,0.469519104,0.585031829,0.6275,0.62761375,0.58,0.6725,0.484633225,0.48589238,0.418197754,0.553926757
fb,Llama3-70B,joint,10,0.152403312,0.153003847,0.116762985,0.191582039,0.27,0.27005475,0.2275,0.3125,0.106923848,0.108026214,0.079528378,0.139376857
fb,Llama3-70B,clinton,100,0.512464132,0.512581871,0.462628988,0.562153931,0.4975,0.49751475,0.4475,0.545,0.612092724,0.613686087,0.555285674,0.66904857
fb,Llama3-70B,trump,100,0.523187332,0.523734968,0.467225927,0.581890638,0.6325,0.63277825,0.5874375,0.68,0.447710561,0.448841876,0.389093487,0.510973289
fb,Llama3-70B,joint,100,0.347445907,0.347692611,0.29971794,0.396904677,0.4,0.39980475,0.3525,0.4475,0.326446269,0.328298327,0.27686343,0.382138859
fb,Llama3-70B,clinton,1000,0.788910095,0.788847428,0.748162507,0.827601937,0.79,0.78995725,0.75,0.8275,0.78833308,0.789705776,0.74880406,0.829061013
fb,Llama3-70B,trump,1000,0.797181798,0.797226613,0.755318153,0.838311866,0.8075,0.80779725,0.77,0.845,0.801150192,0.802798834,0.762058294,0.842412873
fb,Llama3-70B,joint,1000,0.637907546,0.638043324,0.590344813,0.686158148,0.65,0.650261,0.605,0.6975,0.635720156,0.639154897,0.588507403,0.689313585
fb,Llama3-70B,clinton,all,0.823501839,0.823623184,0.784349123,0.860964325,0.825,0.82513475,0.7875,0.8625,0.823311988,0.82471195,0.785315401,0.861732467
fb,Llama3-70B,trump,all,0.837227078,0.837373326,0.79793544,0.87495873,0.845,0.84530725,0.81,0.88,0.841075008,0.842514447,0.80433045,0.878998243
fb,Llama3-70B,joint,all,0.692906034,0.692848986,0.645346438,0.739127012,0.7025,0.7029425,0.6575,0.7475,0.701648164,0.704246731,0.652579005,0.753344346
semeval,GPT3-Ada,target,zero-shot,0.256548843,0.256064652,0.203768386,0.311359897,0.227138643,0.227026844,0.182890855,0.271386431,0.728765246,0.729322409,0.608076229,0.798887235
semeval,GPT3-Ada,stance,zero-shot,0.04136631,0.041413866,0.015795681,0.071092926,0.02359882,0.023769322,0.008849558,0.041297935,0.461946903,0.462196749,0.1943412,0.61606802
semeval,GPT3-Ada,joint,zero-shot,0,0,0,0,0,0,0,0,0,0,0,0
semeval,GPT3-Davinci,target,zero-shot,0.746929573,0.746511188,0.701150565,0.788189485,0.643067847,0.642965782,0.589970501,0.693215339,0.89349004,0.894270245,0.859746502,0.926987458
semeval,GPT3-Davinci,stance,zero-shot,0.699057628,0.699174467,0.650657799,0.747943629,0.699115044,0.699128024,0.651917404,0.749262537,0.720594756,0.722420015,0.674195647,0.770039448
semeval,GPT3-Davinci,joint,zero-shot,0.4942075,0.494447432,0.441171098,0.54916225,0.480825959,0.480956637,0.427728614,0.533923304,0.578731607,0.581062965,0.498605958,0.687902463
semeval,GPT3-Ada,target,one-shot,0.05852899,0.058259128,0.029463197,0.090737405,0.03539823,0.035412094,0.017699115,0.056047198,0.720747296,0.505511261,0.087610396,0.782260277
semeval,GPT3-Ada,stance,one-shot,0.105014749,0.104277771,0.066200689,0.145164242,0.061946903,0.061707965,0.038348083,0.088495575,0.344579646,0.344626301,0.243887906,0.447568647
semeval,GPT3-Ada,joint,one-shot,0.029320273,0.029257334,0.009481871,0.05215579,0.020648968,0.020712389,0.005899705,0.038348083,0.379960034,0.254018599,0.015285205,0.430069458
semeval,GPT3-Davinci,target,one-shot,0.766973763,0.766700996,0.723980264,0.806891541,0.657817109,0.65820944,0.607669617,0.707964602,0.919982324,0.920206582,0.885650803,0.952519662
semeval,GPT3-Davinci,stance,one-shot,0.680038703,0.680125591,0.628364931,0.730214163,0.681415929,0.681378466,0.631268437,0.731563422,0.695823402,0.697920818,0.648046912,0.747405621
semeval,GPT3-Davinci,joint,one-shot,0.536355244,0.536067715,0.479712568,0.59141527,0.501474926,0.501539823,0.448377581,0.554572271,0.663280518,0.667463725,0.586968554,0.745126151
semeval,GPT3-Ada,target,10,0.807667512,0.807869122,0.76626081,0.848578778,0.805309735,0.805512684,0.764011799,0.84660767,0.833317125,0.834401645,0.797701534,0.868287538
semeval,GPT3-Ada,stance,10,0.442621516,0.442865701,0.38871734,0.498841803,0.498525074,0.498489086,0.445427729,0.551622419,0.427111736,0.428341727,0.36708287,0.494063706
semeval,GPT3-Ada,joint,10,0.296756229,0.297070196,0.244909361,0.350259126,0.407079646,0.406716519,0.353982301,0.460176991,0.245866965,0.246748143,0.195469367,0.300930353
semeval,GPT3-Ada,target,100,0.817014119,0.816844622,0.773452876,0.858137379,0.817109145,0.8170059,0.775811209,0.85840708,0.823148803,0.823945166,0.78137784,0.863307272
semeval,GPT3-Ada,stance,100,0.584393027,0.584048273,0.529615582,0.638597676,0.592920354,0.592648083,0.539823009,0.646017699,0.582508661,0.584386949,0.529371196,0.639191949
semeval,GPT3-Ada,joint,100,0.455116532,0.454963081,0.39884508,0.513007324,0.480825959,0.480763717,0.427728614,0.536873156,0.46859058,0.472628088,0.411583815,0.535289501
semeval,GPT3-Ada,target,all,0.8820059,0.882014186,0.846107727,0.914622789,0.8820059,0.882019469,0.84660767,0.914454277,0.8820059,0.882635492,0.846377913,0.915377081
semeval,GPT3-Ada,stance,all,0.725938518,0.725926533,0.676588023,0.772147201,0.728613569,0.728655457,0.681415929,0.772935103,0.727518226,0.729342148,0.680114535,0.775469171
semeval,GPT3-Ada,joint,all,0.65238158,0.652659567,0.600876113,0.70317012,0.651917404,0.652206195,0.601769912,0.702064897,0.662075846,0.666366525,0.615130943,0.716332131
semeval,GPT3-Davinci,target,10,0.780066705,0.780335131,0.735008793,0.824286536,0.761061947,0.761423009,0.713864307,0.808259587,0.800428769,0.80173227,0.755795106,0.845292981
semeval,GPT3-Davinci,stance,10,0.42995106,0.430275627,0.377103327,0.484295871,0.466076696,0.46610354,0.412979351,0.519174041,0.448199037,0.449782833,0.385885657,0.515280635
semeval,GPT3-Davinci,joint,10,0.304439555,0.304850826,0.25375956,0.359006839,0.353982301,0.353865487,0.303834808,0.407079646,0.383725679,0.379830153,0.242422716,0.48384656
semeval,GPT3-Davinci,target,100,0.844307743,0.844112395,0.804483741,0.881658276,0.843657817,0.843466372,0.805235988,0.8820059,0.845618142,0.846223473,0.806327687,0.884154155
semeval,GPT3-Davinci,stance,100,0.687157835,0.686723223,0.636132837,0.735326308,0.687315634,0.686878761,0.637168142,0.734513274,0.68820528,0.689707053,0.638968494,0.738690974
semeval,GPT3-Davinci,joint,100,0.611063618,0.610641636,0.556721145,0.662068148,0.607669617,0.607222124,0.554572271,0.657817109,0.628360595,0.631907202,0.577563195,0.684367774
semeval,GPT3-Davinci,target,all,0.885448574,0.885708686,0.852358805,0.917948999,0.884955752,0.8852059,0.852433628,0.91740413,0.887815424,0.888654035,0.855285785,0.920797861
semeval,GPT3-Davinci,stance,all,0.758731846,0.758864411,0.713982673,0.802988776,0.758112094,0.758185251,0.713864307,0.802359882,0.762751425,0.764500319,0.719652567,0.808408024
semeval,GPT3-Davinci,joint,all,0.692903706,0.692585817,0.642239048,0.740982651,0.693215339,0.692811799,0.643067847,0.740412979,0.697914702,0.701251854,0.650603245,0.749621792
fb,GPT3-Ada,clinton,zero-shot,0.052542373,0.052351247,0.028107937,0.078644633,0.0375,0.03746125,0.02,0.0575,0.087735849,0.088264469,0.047691489,0.135790211
fb,GPT3-Ada,trump,zero-shot,0.110197731,0.110783746,0.080349701,0.144384982,0.245,0.24526275,0.2025,0.2875,0.076254257,0.077152225,0.05327174,0.104705716
fb,GPT3-Ada,joint,zero-shot,0.001102941,0.001125424,0,0.004179135,0.0025,0.0024655,0,0.0075,0.000707547,0.000742142,0,0.002826189
fb,GPT3-Davinci,clinton,zero-shot,0.723030982,0.7234393,0.67909852,0.766189921,0.72,0.720164,0.675,0.7625,0.78842587,0.789563843,0.754113975,0.822489309
fb,GPT3-Davinci,trump,zero-shot,0.769966669,0.770369833,0.730472837,0.80884436,0.755,0.7550645,0.7125,0.7975,0.839549107,0.840819162,0.809203356,0.86972933
fb,GPT3-Davinci,joint,zero-shot,0.605430509,0.605636321,0.558579436,0.652139742,0.555,0.5549555,0.5075,0.6025,0.733637807,0.736924779,0.687624527,0.784597682
fb,GPT3-Ada,clinton,one-shot,0.051830011,0.051900496,0.024042451,0.083198742,0.0275,0.02765225,0.0125,0.045,0.457,0.458445396,0.272616071,0.66394375
fb,GPT3-Ada,trump,one-shot,0.074330336,0.074421821,0.04470799,0.106721811,0.0675,0.0676215,0.045,0.0925,0.425784783,0.427941698,0.199288504,0.653537829
fb,GPT3-Ada,joint,one-shot,0,0,0,0,0,0,0,0,0,0,0,0
fb,GPT3-Davinci,clinton,one-shot,0.729364051,0.729148066,0.685643593,0.772501809,0.7275,0.72704575,0.6825,0.77,0.797701843,0.799000047,0.764296983,0.829715022
fb,GPT3-Davinci,trump,one-shot,0.636906578,0.63688496,0.587286276,0.684797857,0.6225,0.622235,0.5749375,0.67,0.827109533,0.828185767,0.798646202,0.854900389
fb,GPT3-Davinci,joint,one-shot,0.50602265,0.505789049,0.455422215,0.55593547,0.4475,0.44709875,0.4,0.4975,0.736159745,0.739317513,0.686889619,0.788521388
fb,GPT3-Ada,clinton,10,0.457959437,0.4583342,0.401678911,0.515639666,0.575,0.575086,0.525,0.6225,0.383382462,0.384665416,0.327874083,0.44282478
fb,GPT3-Ada,trump,10,0.518459215,0.518313262,0.459167963,0.576470588,0.655,0.6546925,0.6075,0.7,0.429025,0.429175192,0.36905625,0.49
fb,GPT3-Ada,joint,10,0.175890205,0.176490861,0.137000772,0.218027221,0.3275,0.3276035,0.2825,0.3725,0.123147965,0.12428051,0.093360628,0.157901915
fb,GPT3-Ada,clinton,100,0.7100263,0.709751482,0.659144367,0.759904349,0.735,0.73496025,0.6925,0.7775,0.737409007,0.738949748,0.69089386,0.784506758
fb,GPT3-Ada,trump,100,0.729603422,0.729627662,0.684359687,0.773093867,0.73,0.72999825,0.6875,0.7725,0.729494671,0.730959368,0.68268736,0.777442132
