dataset,model,subset,regime,f1_estimate,f1_mean,f1_ci.low,f1_ci.high,recall_estimate,recall_mean,recall_ci.low,recall_ci.high,precision_estimate,precision_mean,precision_ci.low,precision_ci.high
semeval,Llama3-8B,joint,one-shot,0.491796111,0.492089612,0.438929372,0.546393038,0.513274336,0.513269912,0.460176991,0.566371681,0.605869441,0.596917666,0.486676166,0.719947199
semeval,Llama3-70B,target,one-shot,0.779257358,0.779092275,0.73467017,0.820729261,0.725663717,0.725746018,0.678466077,0.772861357,0.84354452,0.844377486,0.800111803,0.88462586
semeval,Llama3-70B,stance,one-shot,0.681645129,0.681317531,0.627284003,0.73329056,0.696165192,0.695865487,0.646017699,0.743362832,0.70560612,0.707270356,0.655295577,0.756479841
semeval,Llama3-70B,joint,one-shot,0.536345232,0.536173541,0.477498361,0.594895222,0.557522124,0.557227139,0.504424779,0.610619469,0.591351257,0.594554271,0.498938363,0.688261306
semeval,Gemini-1.5,target,one-shot,0.754923317,0.753978639,0.710413409,0.794536545,0.628318584,0.627952507,0.575221239,0.678466077,0.954756569,0.95471891,0.925027579,0.980683241
semeval,Gemini-1.5,stance,one-shot,0.730633233,0.730677617,0.681759556,0.778138228,0.731563422,0.731490265,0.684365782,0.778761062,0.772376847,0.774008126,0.730405876,0.814187292
semeval,Gemini-1.5,joint,one-shot,0.540015038,0.539924534,0.486074401,0.593001031,0.489675516,0.490070206,0.436578171,0.542772861,0.670898819,0.673780215,0.589787149,0.76256057
semeval,GPT-4o,target,one-shot,0.756628631,0.75587611,0.712577009,0.797511506,0.637168142,0.636873451,0.584070796,0.687315634,0.940380129,0.940704092,0.908218587,0.97024761
semeval,GPT-4o,stance,one-shot,0.731415073,0.731454927,0.683708603,0.776993921,0.731563422,0.731526254,0.684365782,0.775811209,0.786924987,0.788494707,0.749449668,0.823359505
semeval,GPT-4o,joint,one-shot,0.532634515,0.532912094,0.477501602,0.586766163,0.486725664,0.487425369,0.433628319,0.539823009,0.633067434,0.635896642,0.574090689,0.697601608
semeval,BERT,target,10,0.459934577,0.459806023,0.400951303,0.518106436,0.501474926,0.501319764,0.448377581,0.554572271,0.595202377,0.596963645,0.527130427,0.665223115
semeval,BERT,stance,10,0.238832692,0.239053521,0.190287757,0.287479137,0.294985251,0.295351327,0.247787611,0.342182891,0.313659713,0.314817424,0.24523252,0.387517235
semeval,BERT,joint,10,0.136661893,0.136812953,0.100001177,0.177142544,0.212389381,0.212284956,0.168141593,0.256637168,0.147281452,0.148035973,0.102440464,0.20159512
semeval,BERT,target,100,0.427167261,0.427532664,0.364927507,0.492263293,0.581120944,0.581121534,0.528023599,0.634218289,0.337701552,0.338422751,0.278808921,0.402232838
semeval,BERT,stance,100,0.361559485,0.361703114,0.302670237,0.423631903,0.525073746,0.524836578,0.471976401,0.578171091,0.275702439,0.276186011,0.222761723,0.334281811
semeval,BERT,joint,100,0.177107592,0.177741598,0.134389636,0.223964277,0.345132743,0.345227139,0.294985251,0.395280236,0.119116611,0.119850461,0.087016298,0.156246465
semeval,BERT,target,all,0.848969713,0.849122171,0.81022501,0.886701328,0.849557522,0.849726844,0.81120944,0.887905605,0.849127898,0.850078513,0.810923657,0.887610214
semeval,BERT,stance,all,0.651640264,0.65174103,0.6010634,0.70229213,0.651917404,0.652040708,0.601769912,0.702064897,0.651818307,0.653940451,0.602756036,0.705186162
semeval,BERT,joint,all,0.597965095,0.597533714,0.54476039,0.649481816,0.595870206,0.595396755,0.542772861,0.646017699,0.613169664,0.616857292,0.563270912,0.670129823
semeval,SBERT,target,10,0.49826748,0.498355371,0.434669891,0.561079844,0.587020649,0.587129204,0.533923304,0.637168142,0.567561169,0.568666505,0.486422464,0.649394988
semeval,SBERT,stance,10,0.388745735,0.388853133,0.329298917,0.450948693,0.504424779,0.50449174,0.451327434,0.557522124,0.362006659,0.363383139,0.29803851,0.431994293
